rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
1,1,-0.709002,-0.298291,0.419416,0.249265,All,#4682B4,0
2,1,-0.703639,-0.171894,0.496144,0.134426,All,#4682B4,0
3,1,-0.723234,-0.845123,0.859463,0.206527,All,#4682B4,0
4,1,-0.66047,-0.28657,0.119006,-0.282915,All,#4682B4,0
5,1,-0.695988,-0.198247,0.403448,0.0612527,All,#4682B4,0
6,1,-0.677154,-0.330159,1.08281,-0.119377,All,#4682B4,0
7,1,-0.673549,-0.464912,0.594004,-0.217391,All,#4682B4,0
8,1,-0.658831,-0.232476,0.0992438,0.0917153,All,#4682B4,0
9,1,-0.718042,-0.30362,0.484161,0.24963,All,#4682B4,0
10,1,-0.678829,-0.222484,0.0652898,-0.194692,All,#4682B4,0
1,2,0.220449,0.103796,-0.325346,-0.0419424,All,#4682B4,0
2,2,0.246837,0.155371,-0.279965,-0.17617,All,#4682B4,0
3,2,0.235468,0.268794,-0.460828,0.0240218,All,#4682B4,0
4,2,0.237258,0.143701,-0.146844,-0.0408024,All,#4682B4,0
5,2,0.255573,-0.0488484,0.444904,-0.145748,All,#4682B4,0
6,2,0.213877,0.24841,-0.354173,-0.0129781,All,#4682B4,0
7,2,0.245795,0.0757828,-0.0384505,0.196404,All,#4682B4,0
8,2,0.280904,0.204997,-0.00738738,-0.135026,All,#4682B4,0
9,2,0.247783,0.15689,0.086963,-0.177478,All,#4682B4,0
10,2,0.264896,0.208537,-0.175943,-0.217295,All,#4682B4,0
1,3,0.221331,0.0211067,0.726062,0.0168986,All,#4682B4,0
2,3,0.151744,0.000740551,0.146378,0.0329625,All,#4682B4,0
3,3,0.176996,0.0468162,0.241919,-0.0614121,All,#4682B4,0
4,3,0.1813,0.117215,-0.205624,0.339073,All,#4682B4,0
5,3,0.18323,0.227063,0.241944,0.137621,All,#4682B4,0
6,3,0.212723,0.290126,0.0313531,0.30395,All,#4682B4,0
7,3,0.190767,0.341537,-0.279935,-0.0627423,All,#4682B4,0
8,3,0.193842,0.147995,0.105839,0.0643267,All,#4682B4,0
9,3,0.224042,0.172294,0.0118133,0.222526,All,#4682B4,0
10,3,0.174982,0.0884791,0.0503158,0.196326,All,#4682B4,0
1,4,-0.0485651,0.00541897,-0.985,-0.293722,All,#4682B4,0
2,4,-0.000632121,-0.277021,0.486896,-0.444793,All,#4682B4,0
3,4,-0.0039146,-0.0529135,-0.534893,0.0694022,All,#4682B4,0
4,4,-0.0267981,0.035793,-0.524718,-0.087613,All,#4682B4,0
5,4,-0.0142517,0.00253829,-0.487928,0.129686,All,#4682B4,0
6,4,-0.012485,-0.245222,-0.024422,-0.347166,All,#4682B4,0
7,4,0.0362908,-0.0627502,0.0936637,-0.116427,All,#4682B4,0
8,4,-0.00792682,-0.0504238,-0.512618,0.0460266,All,#4682B4,0
9,4,0.0237106,-0.0158489,-0.19655,-0.446482,All,#4682B4,0
10,4,-0.0212585,-0.0387757,-0.360014,-0.198751,All,#4682B4,0
1,5,-0.119107,-0.096261,0.797073,-0.133717,All,#4682B4,0
2,5,-0.122201,-0.0885684,0.710746,-0.170373,All,#4682B4,0
3,5,-0.0958556,0.172585,0.302769,0.226445,All,#4682B4,0
4,5,-0.117775,-0.117215,0.628211,-0.00442384,All,#4682B4,0
5,5,-0.131248,0.106137,0.120849,-0.123504,All,#4682B4,0
6,5,-0.102696,0.017368,0.446396,0.278071,All,#4682B4,0
7,5,-0.0799814,0.209904,0.0675468,0.223323,All,#4682B4,0
