rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
1,1,-0.665403,-0.279179,0.215835,0.371211,All,#4682B4,0
2,1,-0.697383,-0.196948,0.462498,0.171989,All,#4682B4,0
3,1,-0.634121,-0.22222,-0.149002,-0.234525,All,#4682B4,0
4,1,-0.7536,-0.209656,0.0903154,0.535194,All,#4682B4,0
5,1,-0.665476,-0.354551,0.53624,0.123483,All,#4682B4,0
6,1,-0.71935,-0.427092,0.657697,0.0527267,All,#4682B4,0
7,1,-0.678291,-0.47426,0.316905,0.243645,All,#4682B4,0
8,1,-0.737981,-0.180023,0.232653,0.30126,All,#4682B4,0
9,1,-0.71589,-0.251623,0.444466,0.46214,All,#4682B4,0
10,1,-0.620062,-0.337743,0.237527,-0.151958,All,#4682B4,0
11,1,-0.740313,-0.452485,0.294021,0.292504,All,#4682B4,0
12,1,-0.741779,-0.237146,0.35181,0.383509,All,#4682B4,0
13,1,-0.675873,-0.27651,0.0602678,-0.131333,All,#4682B4,0
14,1,-0.673164,-0.305884,-0.158269,0.10618,All,#4682B4,0
15,1,-0.717485,-0.273314,0.373684,0.529776,All,#4682B4,0
16,1,-0.626963,-0.209779,0.284054,-0.0884831,All,#4682B4,0
17,1,-0.674233,-0.304524,0.283886,-0.0350327,All,#4682B4,0
18,1,-0.68613,-0.492043,0.497205,-0.0222514,All,#4682B4,0
19,1,-0.631057,-0.945164,0.822979,0.233777,All,#4682B4,0
20,1,-0.676433,-0.40733,-0.0310178,-0.484121,All,#4682B4,0
21,1,-0.69429,-0.255145,0.381064,0.120579,All,#4682B4,0
22,1,-0.668599,-0.37633,0.874819,-0.0371474,All,#4682B4,0
23,1,-0.685977,-0.0994568,0.259448,0.0555654,All,#4682B4,0
24,1,-0.71257,-0.236729,-0.360177,0.0449554,All,#4682B4,0
25,1,-0.679261,-0.356579,0.499921,0.238121,All,#4682B4,0
26,1,-0.721779,-0.211965,0.152393,0.569237,All,#4682B4,0
27,1,-0.694028,-0.458723,0.149975,0.361843,All,#4682B4,0
28,1,-0.668215,-0.210274,0.380022,0.430897,All,#4682B4,0
29,1,-0.659022,-0.39354,0.312277,-0.418812,All,#4682B4,0
30,1,-0.675268,-0.303788,0.429878,0.0902286,All,#4682B4,0
31,1,-0.658756,-0.565852,0.830492,0.0687326,All,#4682B4,0
32,1,-0.733922,-0.15528,0.363598,0.315921,All,#4682B4,0
33,1,-0.679141,-0.440614,0.553315,0.381695,All,#4682B4,0
34,1,-0.660091,-0.455227,0.610793,-0.106002,All,#4682B4,0
35,1,-0.66901,-0.274414,0.388786,-0.128088,All,#4682B4,0
36,1,-0.702523,-0.425134,-0.0538069,0.181615,All,#4682B4,0
37,1,-0.68446,-0.350269,0.559318,-0.0619714,All,#4682B4,0
38,1,-0.761748,-0.49832,0.461088,0.489198,All,#4682B4,0
39,1,-0.628159,-0.536518,0.465498,0.0200697,All,#4682B4,0
40,1,-0.686542,-0.250134,0.0106235,-0.0605162,All,#4682B4,0
41,1,-0.629799,-0.351143,0.24811,-0.0142748,All,#4682B4,0
42,1,-0.656369,-0.186338,0.0428167,-0.00591181,All,#4682B4,0
43,1,-0.664698,-0.574415,0.437666,-0.261315,All,#4682B4,0
44,1,-0.671908,-0.102013,-0.275323,0.174439,All,#4682B4,0
45,1,-0.644041,-0.489539,0.413191,-0.0955645,All,#4682B4,0
46,1,-0.662702,-0.498928,0.211117,-0.109811,All,#4682B4,0
47,1,-0.654036,-0.216506,0.280711,-0.0288661,All,#4682B4,0
48,1,-0.680118,-0.295781,0.134585,-0.145981,All,#4682B4,0
49,1,-0.676034,-0.232992,0.538749,0.0611826,All,#4682B4,0
50,1,-0.667177,-0.330742,0.328973,-0.491623,All,#4682B4,0
1,2,0.204185,0.141949,-0.297272,-0.121336,All,#4682B4,0
2,2,0.225649,0.0885373,-0.383618,0.127832,All,#4682B4,0
3,2,0.259226,0.227341,-0.129886,-0.296542,All,#4682B4,0
4,2,0.223961,0.149731,-0.0761649,-0.220934,All,#4682B4,0
5,2,0.258331,0.304615,-0.555623,-0.0716734,All,#4682B4,0
6,2,0.245244,0.268243,-0.41464,-0.0724127,All,#4682B4,0
7,2,0.25156,0.0833751,0.323416,-0.309145,All,#4682B4,0
8,2,0.250564,0.133609,0.108595,0.143452,All,#4682B4,0
9,2,0.260172,0.334926,-0.302624,-0.198252,All,#4682B4,0
10,2,0.236099,-0.0176756,0.60721,-0.390793,All,#4682B4,0
11,2,0.178833,-0.0613013,0.0838856,-0.195698,All,#4682B4,0
12,2,0.178217,0.172485,-0.468678,0.517768,All,#4682B4,0
13,2,0.23006,0.136575,-0.333573,0.444636,All,#4682B4,0
14,2,0.277851,0.022613,0.838852,-0.0723891,All,#4682B4,0
15,2,0.225092,0.096126,-0.0754765,-0.273026,All,#4682B4,0
16,2,0.214676,0.119757,-0.182238,-0.00929913,All,#4682B4,0
17,2,0.244734,0.225842,-0.381293,0.197134,All,#4682B4,0
18,2,0.243183,0.160801,-0.379877,-0.15774,All,#4682B4,0
19,2,0.254577,0.305392,-0.480106,0.128673,All,#4682B4,0
20,2,0.261595,0.0772936,0.228091,-0.24549,All,#4682B4,0
21,2,0.254564,0.151424,0.052054,-0.445074,All,#4682B4,0
22,2,0.233093,0.260866,-0.301401,-0.0314517,All,#4682B4,0
23,2,0.242305,0.17339,-0.313094,0.221455,All,#4682B4,0
24,2,0.220154,0.121521,-0.179805,-0.277778,All,#4682B4,0
25,2,0.244843,0.157528,-0.31024,0.116636,All,#4682B4,0
26,2,0.23072,0.171387,-0.104471,-0.31007,All,#4682B4,0
27,2,0.207529,0.130269,-0.156258,0.660425,All,#4682B4,0
28,2,0.274287,0.128252,0.0886161,-0.443064,All,#4682B4,0
29,2,0.26065,0.203213,-0.133887,0.274729,All,#4682B4,0
30,2,0.265331,0.118969,0.315904,0.0400498,All,#4682B4,0
31,2,0.22959,0.262045,-0.637185,-0.104297,All,#4682B4,0
32,2,0.266098,0.188531,-0.0623337,0.170668,All,#4682B4,0
33,2,0.231611,-0.122179,0.405171,-0.344519,All,#4682B4,0
34,2,0.250313,0.196838,-0.0159191,-0.293735,All,#4682B4,0
35,2,0.266467,0.205496,0.330556,-0.285844,All,#4682B4,0
36,2,0.203378,0.146682,-0.114816,-0.112759,All,#4682B4,0
37,2,0.229531,0.175858,-0.422781,-0.421703,All,#4682B4,0
38,2,0.231791,0.152324,-0.182114,-0.391858,All,#4682B4,0
39,2,0.213802,0.247462,-0.340683,0.848784,All,#4682B4,0
40,2,0.301984,0.0657648,0.272934,-0.176883,All,#4682B4,0
41,2,0.240452,0.154786,-0.190639,-0.673949,All,#4682B4,0
42,2,0.256625,0.194654,0.291223,-0.543018,All,#4682B4,0
43,2,0.230386,0.29478,-0.49229,0.175139,All,#4682B4,0
44,2,0.268942,0.271184,-0.0331609,0.148462,All,#4682B4,0
45,2,0.210372,0.228442,-0.444687,-0.116142,All,#4682B4,0
46,2,0.225131,0.0179562,0.272358,-0.454907,All,#4682B4,0
47,2,0.215554,0.163976,-0.236528,-0.182597,All,#4682B4,0
48,2,0.23875,0.123408,0.0394478,-0.03579,All,#4682B4,0
49,2,0.264316,0.174269,-0.194446,0.122542,All,#4682B4,0
50,2,0.248565,0.054781,0.0632035,-0.24041,All,#4682B4,0
1,3,0.174555,0.124012,0.146908,0.511913,All,#4682B4,0
2,3,0.196371,0.0277492,0.372444,0.0623775,All,#4682B4,0
3,3,0.181004,0.260266,-0.0715944,0.433946,All,#4682B4,0
4,3,0.164509,0.267512,-0.178071,0.533527,All,#4682B4,0
5,3,0.148147,0.105997,-0.381111,0.273061,All,#4682B4,0
6,3,0.202389,0.104601,0.260598,0.645118,All,#4682B4,0
7,3,0.193155,0.0478763,0.504655,-0.116156,All,#4682B4,0
8,3,0.185203,0.176716,-0.0394154,0.397102,All,#4682B4,0
9,3,0.171575,0.0302784,0.0326788,-0.0968757,All,#4682B4,0
10,3,0.166015,0.0753261,0.159462,0.0933278,All,#4682B4,0
11,3,0.210852,0.123495,0.0592491,0.215088,All,#4682B4,0
12,3,0.194129,0.127288,-0.00240952,0.219603,All,#4682B4,0
